active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Apoorva Mehta,Brandon Leonardo,Max Mullen",S12,2012,"Consumer,Food and Beverage",7,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/9750fca21baaee75e035f1baaf58df8e2f5dcc67.png,"Instacart is the North American leader in online grocery and one of the fastest-growing companies in e-commerce. Instacart’s same-day delivery and pickup services bring fresh groceries and everyday essentials to busy people and families across the U.S. and Canada in as fast as an hour. Since its founding in 2012, Instacart has become an essential service for millions of families, while also serving as an immediate, flexible earnings opportunity for hundreds of thousands of shoppers across North America.  The company partners with more than 350 retailers and delivers from more than 25,000 stores across more than 5,500 cities in North America. Today, Instacart is accessible to more than 85% of households in the U.S. and more than 70% of households in Canada.",Instacart,"San Francisco, CA, USA",Marketplace for grocery delivery and pickup,Public,"grocery,delivery,e-commerce",3000,https://www.instacart.com
"Brian Noguchi,Nate Smith,Sarah Nahm",S12,2012,"B2B,Recruiting and Talent",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/5aab29bbd372c8ae56867cfafbca2d5d2ae180e6.png,"Lever is one of the most recognized brands in talent acquisition software for high growth companies. We enable teams to post jobs, source, interview, and hire top talent. We've combined ATS & CRM into a single platform, Lever TRM. Our Talent Acquisition Suite also includes tools for recruitment marketing and analytics: Lever Nurture, Lever Advanced Analytics, and Lever Data Warehouse Sync. Our customers include Netflix, KPMG, Spotify, Talend, Cirque du Soleil, and over 5000 other customers.

Lever has raised $123 million in funding from Apax Digital, Adam Street Partners, Scale Venture Partners, Matrix Partners, and Y Combinator among others. With an overall gender ratio of 50:50, Lever is also fiercely committed to building a team culture that celebrates diversity and inclusion. For more information, visit https://www.lever.co/.",Lever,"San Francisco, CA, USA",Talent Acquisition Suite that combines ATS + Talent CRM,Acquired,"saas,human-resources,talent-acquisition",225,https://www.lever.co/
Sajith Wickramasekara,S12,2012,B2B,0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/56dfbb621883fb62890bd66d7bd967984b974c12.png,"Biotechnology is rewriting life as we know it, from the medicines we take, to the crops we grow, the materials we wear, and the household goods that we rely on every day. Biotech R&D is radically transforming our world, but to move at the new speed of science, scientists need better technology.

Benchling’s mission is to unlock the power of biotechnology. The world’s biotech leaders and innovators use our R&D Cloud to power the development of breakthrough products and accelerate time to milestone and market.",Benchling,"San Francisco, CA, USA",Unlocking the power of biotech with modern software for modern science,Active,"saas,b2b,biotech",750,http://benchling.com
Brian Armstrong,S12,2012,"Fintech,Banking and Exchange",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/d583cc2bc592cccd5ff68e81f8fce6bc48be8025.png,"Founded in June of 2012, Coinbase is a digital currency wallet and platform where merchants and consumers can transact with new digital currencies like bitcoin, ethereum, and litecoin. Our vision is to bring more innovation, efficiency, and equality of opportunity to the world by building an open financial system. Our first step on that journey is making digital currency accessible and approachable for everyone. Two principles guide our efforts. First, be the most trusted company in our domain. Second, create user-focused products that are easier and more intuitive to use.",Coinbase,"San Francisco, CA, USA","Buy, sell, and manage cryptocurrencies.",Public,crypto-web3,6112,https://www.coinbase.com
"Dan Carroll,Rafael Garcia",S12,2012,Education,0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/76cc0d8c3947ddc3bc0b8b889117b3cf3dc00ba2.png,"Clever is a single platform for all of your digital learning programs. Founded in 2012, Clever was started by educators and technology professionals who knew that schools, teachers, and students could all benefit from the amazing learning software that was available, but key challenges stood in the way of accessing the technology. Today, half of K-12 schools in the U.S. use Clever to give students and teachers single sign-on access for any resource or file they need, and to automate software account setup and updates for district administrators. Clever gives teachers time to teach, helps districts be better informed, and makes using applications in the classroom effortless.

We are a team of more than 100 people passionate about education. If you feel the same way, you should see our openings at https://clever.com/about/jobs.",Clever,"San Francisco, CA, USA",The platform that powers technology in the classroom.,Acquired,"education,saas",210,https://clever.com
Michael Carvin,S12,,"Fintech,Consumer Finance",2,New York,https://bookface-images.s3.amazonaws.com/small_logos/d79adb13b4acb20f9e08e876a7ad54319a3e7a10.png,"SmartAsset is an online destination for consumer-focused financial information and advice. Reaching approximately 59 million people each month (as of January 2024) through its educational content and personalized calculators and tools, SmartAsset's mission is to help people make smart financial decisions. 

Additionally, SmartAsset powers SmartAsset AMP, a national marketplace connecting consumers to financial advisors. Building on SmartAsset’s relationship with millions of investors, SmartAsset AMP connects financial advisors directly with prospects who meet their target client profile. Our algorithm matches consumers with up to three fiduciary financial advisors. In 2023, SmartAsset helped advisors close an estimated $34 billion.",SmartAsset,"New York, NY, USA",Marketplace connecting consumers to financial advisors,Active,"fintech,marketplace",210,http://smartasset.com
"Wade Foster,Bryan Helmig,Mike Knoop",S12,2011,"B2B,Productivity",0,Mountain View,https://bookface-images.s3.amazonaws.com/small_logos/59fbaea3a4a565dd0eb1b1228ea2d6fd35e22ad8.png,"Founded in 2011, Zapier is the #1 workflow automation platform for small and mid-sized businesses. By connecting more than 6,000 of the most popular work apps, Zapier empowers its users to make the most of the tools they already use—and to focus on what matters most.",Zapier,"Mountain View, CA, USA",The easiest way to automate your work.,Active,"saas,b2b,automation",700,http://zapier.com
Dustin Curtis,S12,,"Consumer,Content",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/e95820162990dcc07b2965037e9232015b67bd64.png,A publishing platform designed to work the same way your brain does. ,Svbtle,"San Francisco, CA, USA",A publishing platform.,Active,media,2,https://svbtle.com
"Chris Chan,Derek Chan,Ray Chan,Marco Fung,Brian Yu",S12,2007,"Consumer,Social",0,"Hong Kong, Hong Kong",https://bookface-images.s3.amazonaws.com/small_logos/740a3abe05919cd6bb1c955dbff43d4c41dbb1d3.png,"9GAG  is the global cross-platform entertainment media network. It is a place for fun, conversation, and engagement. Founded in 2008, 9GAG’s mission is to make the world happier. 

9GAG has a total of 150 million global audience with 39 million followers on Facebook, 44 million on Instagram and 15 million on Twitter. Being #1 ranked global social media platform in entertainment & gaming, #1 ranked US's cross-platform video creators, we distribute 2.2 billion social video views on a monthly basis (source: tubular labs). 9GAG.com is #6 most followed  brand on Instagram and is a top 200 website globally.

9GAG is backed by: Freestyle Capital, True Ventures, First Round Capital, Greycroft Partners, 500 Startups, Y Combinator and a group of great angel investors in the United States. eg Anthony Soohoo, Benjamin Ling, BoxGroup, Gary Vaynerchuk, James Hong, Kevin Rose, Karl Jacob, Lowercase Capital, Maneesh Arora, Naval Ravikant, Othman Laraki, Philip Kaplan, Rich Chen, Rich Lefurgy, Scott and Cyan Banister, Tim Ferriss.",9gag,"Hong Kong, Hong Kong",Make the world happier.,Active,"social-media,social",36,http://9gag.com
"Venky B,Michael Ricordeau",S12,2011,"B2B,Engineering, Product and Design",2,"Austin, TX",https://bookface-images.s3.amazonaws.com/small_logos/5369c189f92d275e96e5521a99dc70b3eb3fff17.png,"Plivo is a cloud based API platform that enables businesses to easily build and integrate voice and SMS capabilities into their applications and workflows.  Plivo provides connectivity across 190+ countries and has direct relationships with over 1600 carrier networks globally. Whether you're looking to add voice and SMS capabilities to your website, mobile app, or business workflow, Plivo has the tools and resources you need to get started.",Plivo,"Austin, TX, USA","Plivo enables businesses to add SMS, Voice capability into their apps.",Active,"api,sms,telecommunications",320,https://plivo.com
