active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Kyle Vogt,Daniel Kan",W14,2013,"Industrials,Automotive",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/b9aae9ad065dcf8b7a07d47b45a0667c6953810b.png,"Cruise is building the world’s most advanced, all-electric, self-driving car technology to safely connect people with the places, things, and experiences they care about. Self-driving cars will help save lives, reimagine cities, redefine time in transit, and restore freedom of movement for individuals who live in dense urban settings. Acquired by GM in 2016.",Cruise,"San Francisco, CA, USA",Self-driving cars.,Acquired,"autonomous-delivery,machine-learning,climate,ai,self-driving-vehicles",3000,http://getcruise.com
Ryan Petersen,W14,2013,"B2B,Supply Chain and Logistics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/897ef3a983ed364ca3122044cf2d2a92e05b34bb.png,"Founded in 2013, we believe trade can move the human race forward. That’s why our mission at Flexport is to make global trade easy for everyone.

What the internet has done for bits and bytes, Flexport is doing for physical goods: giving every business the ability to connect to any customer, wherever they are in the world. That sounds pretty straightforward, but a fragmented and inefficient global supply chain has held the world back from untapped growth and innovation. By connecting everyone in the global economy we can unlock commerce, creativity, and human progress.

To do so, we’re building the platform for global logistics—empowering buyers, sellers and their logistics partners with the technology and services they need to grow and innovate. 
Today, we work with more than 40,000 customers and their suppliers across industries like manufacturing, retail, electronics, consumer goods, tech, apparel, and beauty. Companies of all sizes—from emerging brands to Fortune 500s—used Flexport technology to move nearly $19B of merchandise across 112 countries in 2021.

Interested in joining our team? Check out our open job postings on careers site and apply directly today! https://www.flexport.com/careers/jobs/ ",Flexport,"San Francisco, CA, USA",Platform for global logistics.,Active,"saas,logistics,supply-chain",3000,https://www.flexport.com/careers/jobs/
"Urska Srsen,Sandro Mur",W14,2014,"Consumer,Consumer Electronics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/ed160215b7a30dc30384bfcf6e726bac65688aff.png,"Founded in 2014, Bellabeat is a data-centered wellness femtech company behind some of the most fashionably designed tech-powered wellness products and one of the fastest-growing wellness subscription services for women. Throughout the years, Bellabeat built the go-to wellness brand with a compelling ecosystem of solutions and services focused on women’s health. The success of the Leaf and Ivy wearables enabled the brand to expand to international markets and kickstart industry discussions on the importance of innovating in the design and development of tech products. Today, Bellabeat is leading the market shift with hyper-personalized holistic wellness offerings aligned with a women’s menstrual cycle. ",Bellabeat,"San Francisco, CA, USA",Tech-powered women's wellness.,Active,"fitness,health-&-wellness,femtech",134,http://bellabeat.com
"Jared Rodman,Clint Berry,Brandon Rodman",W14,2011,"B2B,Office Management",0,"Lehi, UT",https://bookface-images.s3.amazonaws.com/small_logos/5d33fe7ddb69049aa965ac936b584f1efc32afd2.png,"As the pace of innovation continues, it is growing more difficult to see the value of technology. Often meaningful information is inaccessible at the time it would be most beneficial. Weave threads together data, software and communication platforms to build stronger relationships at the point of contact by making valuable information instantly available in simple and intuitive formats. This delivers improved productivity, better collaboration and greater insights making it easier to meet the needs of patients and to build better business and clinical outcomes.",Weave,"Lehi, UT, USA",Customer communication and payments platform.,Public,,600,http://getweave.com
"Nicolas Dessaigne,Julien Lemoine",W14,2012,"B2B,Engineering, Product and Design",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/3957efb32806e40351fb432ce3c38ae6d22865b3.png,"Our mission is to make every search interaction meaningful & rewarding, through developer-friendly and enterprise-grade APIs.

Algolia is the leading Search & Discovery API for websites and mobile apps. We help the most innovative companies across e-commerce, media and SaaS industries create powerful, relevant and scalable discovery experiences for their users. Unlike other solutions, our hosted platform reduces the complexities of building and scaling a fast, relevant digital experience and helps teams accelerate development time. More than 9,000 companies like Under Armour, Twitch, Periscope, Medium and Stripe rely on Algolia to manage 50+ billion search queries a month.

Founded in 2012, we're backed by $184M in funding from Accel Partners, Alven Capital, Point Nine Capital and Storm Ventures. The team is headquartered in San Francisco with offices in Paris, London, New York, and Atlanta. To learn more, visit www.algolia.com.

---
We’re looking for talented, passionate people to build the world’s best search technology. As an ownership-driven company, we seek team members who thrive under autonomy and diversity. 

We're committed to building an inclusive and diverse workplace. We care about each other and the world around us, and embrace talented people regardless of their race, age, ancestry, religion, sex, gender identity, sexual orientation, marital status, color, veteran status, disability and socioeconomic background",Algolia,"San Francisco, CA, USA",A developer-friendly and enterprise-grade search API.,Active,"developer-tools,saas,b2b",810,http://www.algolia.com
"Ian Cinnamon,Naveen Jain,Reid Rubsamen",W14,,Unspecified,0,San Francisco,,"We're developing a free vaccine to cure HIV and AIDs.  Immunity Project is a non-profit initiative dedicated to developing an HIV vaccine. We hacked the HIV life cycle to develop a vaccine that gives you the same power as HIV controllers. With success in our clinical trials, our goal is to give our vaccine away to the world for free.",Immunity Project,"San Francisco, CA, USA",The free HIV vaccine.,Active,"health-tech,biotech",11,http://immunityproject.org
Matt Harris,W14,,"B2B,Marketing",0,"Victoria, Canada",,"Dyspatch by Sendwithus is a powerful communications platform built around advanced email content management. Our platform simplifies transactional email creation with a robust API, an easy to use editor, and built-in device testing, allowing for truly collaborative email strategy and execution.

A centralized hub for email creation, approval, and publishing, our cloud-based solution empowers Product, Marketing, CRM, and Loyalty teams to efficiently build and test meaningful, dynamic communications without involving developers or deploying code. And with built-in support for 300+ locales, your teams can seamlessly manage localized content for global communications.

Easily connect your cloud email provider or customize your integration to connect to your digital messaging service. Upload your existing templates in minutes. And from there, you’re well on your way to optimizing every email you send.",Dyspatch,"Victoria, BC, Canada",Two products to help everyone email better. Dyspatch.io - Email…,Active,saas,20,https://www.dyspatch.io
John Lai,W14,,Consumer,0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/074cd05efbc63f7a13cbb794c1df90f03162dc58.png,"MixerBox is an AI Super-Apps technology company that helps people live easier through its 24/7 daily-essential mobile apps platform.

Founded in 2012 by Harvard alumnus John Lai, MixerBox is backed by the Silicon Valley unicorn accelerator Y Combinator. The company’s apps have surpassed 300,000,000 downloads worldwide, and allow MixerBox users to wake up to MixerBox AlarmTunes, read MixerBox NewsDash, browse with MixerBox ChatAI Browser, pay with MixerBox AI Pay, watch MixerBox FreecableTV, and fall asleep with MixerBox Inspire Meditation. App by app, MixerBox strives to become the “Anything, Anytime Super-Apps Platform” to help people live easier.",MixerBox,"Palo Alto, CA, USA",AI Super-Apps to Live Easier | The anything anytime superapps…,Active,"generative-ai,consumer,productivity,ai",30,http://mixerbox.com
Varun Arora,W14,2011,Unspecified,0,Mountain View,https://bookface-images.s3.amazonaws.com/small_logos/04fd9eb75663f94c36937a33d5a36579f95693e1.png,"A library of community curated teaching and learning materials, free to the entire world. Come collaborate; we can teach better together.

OpenCurriculum, Inc. is a California based technology nonprofit organization with a mission to bring openness and innovation to K12 education around the world",OpenCurriculum,"Mountain View, CA, USA",Helping K-12 teachers and school administrators build awesome…,Active,"artificial-intelligence,education",,https://opencurriculum.org
"Vasco Pedro,João Graça,Bruno Prezado Silva,Hugo Silva",W14,2013,"B2B,Operations",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/6d36cb19e3763316417518c3b4a2fe8f501c6bbc.png,"Unbabel is an AI Centric Language Operations Platform that eliminates language barriers so that businesses can grow across markets. Our platform enables anyone to easily create flexible translation pipelines for any language or type of content in a scalable way. The pipelines combine best in class AI components, such as our Machine Translation and Quality Estimation, with different levels of human-in-the-loop capabilities, such as human translation and human annotations. The result is an easy to use, super scalable platform for Language Operations that can easily go from real time translation using adapted machine translation to high end human transcreation. 

Based in San Francisco, Unbabel works with hundreds of businesses such as Lego, Logitech, Microsoft, Warner Bros, Virgin Pulse, Booking.com or Under Armour, to communicate effortlessly with customers around the world, no matter what language they speak.",Unbabel,"San Francisco, CA, USA",AI-powered Language Operations platform,Active,,350,http://unbabel.com
