active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Angela Essien,Henry Nnalue",W19,2019,Education,0,"Lagos, Nigeria",https://bookface-images.s3.amazonaws.com/small_logos/1ac4fda3bbb7ab2b975493a939cc90d1df810e24.png,"We are a financial technology company that is revolutionizing the state of pre-tertiary education in Africa.

By paying school fees for parents upfront with a flexible monthly repayment plan, building fees savings culture among parents, This way, schools get up to 80% of all their expected fees 2weeks into resumption and also enabling schools to access to loan facility and availability of various vendors and service providers at discounted rates. ",Schoolable,"Lagos, LA, Nigeria",Tuition collection service for K-12 private schools in Africa,Active,,10,http://schoolable.co
"Yuan Gao,Huan Li,Jiarui Li",W19,2019,"B2B,Engineering, Product and Design",0,"Beijing, China",https://bookface-images.s3.amazonaws.com/small_logos/f06ad45b7f49712e329e6cfd50db0616164f6ce0.png,"JuziBot is a startup that provides smart marketing and sales services for customers on WeChat platform, the company helps SMBs build secure and stable key opinion customer (KOC) channels, as well as helps corporate clients with customer acquisition and sales conversion. JuziBot currently serves customers in education, insurance, healthcare, and a few other industries, some of the clients include Meituan Dianping, Digital China, Zuoyebang, etc., and 80% of these existing customers have been acquired through word of mouth. JuziBot's products have been known to improve the sales experience for one million sales professionals on a daily basis. 

The company is invested by a number of leading VCs including PreAngel, Plug and Play, Y Combinator, TSVC, and Alpha Startups. JuziBot received the CCFA Retail Technology Rising Enterprise Award in 2018. In 2018 and 2019, respectively, the company won the 1st place in both of the task-based human-machine dialogue response naturalness, and the chat-type human-machine dialogue assessment in the SMP Chinese Human-Machine Dialogue Technology Evaluation held by the Chinese Information Processing Society of China (CIPSC).",JuziBot,"Beijing, Beijing, China","Intercom for WeChat, help companies to acquire,  engage, retain…",Active,"chatbot,analytics",20,https://www.juzibot.com/
Joey Grassia,W19,2019,"Consumer,Food and Beverage",1,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/513394d94edc3e9fbdeb49f288d3ef4621c9a976.png,"At Shef, we’re rebuilding the food system from scratch, redefining who can participate in the food economy, and returning personal connection to the making, eating, and sharing of food. 

Shef is an online marketplace for local, food safety certified cooks to connect with customers in their community and earn a meaningful income selling homemade dishes. 

75% of shefs are women and 80% are people of color. Together, they represent nearly 100 countries around the world, from Algeria to Korea, to India and Venezuela. Shefs are aunties and abuelas, immigrants and refugees, stay-at-home parents and restaurant dreamers. They’re passionate local cooks in your community who are doing what they love most — sharing their food and culture with you. 

Shef is also part of a growing movement to build a more inclusive food system for all. We are proud to support and champion advocacy efforts to expand home cooking laws across the country so that talented cooks everywhere can earn a meaningful income from their own kitchens. 

Join us: https://jobs.lever.co/shef

",Shef,"San Francisco, CA, USA",Shef is a Marketplace for Homemade Food,Active,"marketplace,consumer,food,food-tech",100,https://www.shef.com
"Alex Bouaziz,Shuo Wang",W19,2019,"B2B,Finance and Accounting",5,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/2b5c8a17f0ab4fa9a72447d94bc3194dc17fce9b.png,"Deel is the all-in-one HR platform for global teams. It helps companies simplify every aspect of managing an international workforce, from culture and onboarding, to local payroll and compliance. Deel works for independent contractors and full-time employees in more than 150 countries, compliantly. And getting set up takes just a few minutes. For more information, visit Deel.com.",Deel,"San Francisco, CA, USA",The all-in-one HR and payroll platform for global teams,Active,"fintech,saas,b2b,compliance,hr-tech",3500,https://www.deel.com/
"Maximiliano Casal,Alfonso de los Rios Villarreal",W19,2018,"B2B,Supply Chain and Logistics",0,,https://bookface-images.s3.amazonaws.com/small_logos/3adc2d7230f0a2c3c705c361a16f9f9b93e81b7d.png,"Nowports is the first digital Freight Forwarder shipping ocean containers to and from Latin America. One out of every two containers gets lost or delayed due to miscommunication and lack of management. The platform reduces human mistakes to 0% and saves up to 40% of delays with Nowports models and algorithms. Nowports assist companies so moving ocean containers is fast, simple and secure.",Nowports,,The core engine of supply chain in LATAM,Active,,550,https://nowports.com/
"Budi Handoko,Phil Opamuratawongse",W19,2017,"B2B,Supply Chain and Logistics",0,"Jakarta, Indonesia",https://bookface-images.s3.amazonaws.com/small_logos/d7e6eeda0da5998a1259c2403e1417212d97b487.png,,Shipper,"Jakarta, Jakarta, Indonesia",Southeast Asia’s e-commerce logistics and enablement platform,Active,logistics,600,https://shipper.id
"Jiliang Ma,Ying Zhou",W19,,"Healthcare,Consumer Health and Wellness",0,"Beijing, China",https://bookface-images.s3.amazonaws.com/small_logos/8743750ba6656d5b6a2c78afc5591e5130bb4bb9.png,"We build wearable fetal health monitors. 

As parents, we want to know more about our babies. But it’s hard to believe that, despite all the technology available, we still do not know our baby without a visit to the doctor or hospitals. Which is time consuming, expensive, and stressful.

That’s why we created Modoo. 

Mothers simply wear the device on their belly. It tracks baby’s heart rate, movements and generates baby’s health report, so we can consult a physician with just one click.

Modoo connects to an app that allows users to share data via social media sites like WeChat and Weibo, which makes it easy to help family and friends feel more connected.

And thanks to the information it collects, our users reported that, it has helped preventing the loss of 73 babies so far. 

We has been selling Modoo in China at price of 200 dollars since 2017. last year, we tripled our revenue to 3.4 million dollars. 

To target at a bigger market, we launched a subscription trial 3 months ago, with an initial price of 60 dollars. It’s growing 69% week on week, and already generating 50 thousand dollars in MRR. 

Pregnancy is a lucrative market. 16 million babies are born in China every year, that’s a $3.2 billion dollars home market. Worldwide 140 million births make a 28 billion dollars market.

About us, Jiliang is the no.1 employee in an AI startup backed by Google & Sequoia. Ying, the CTO has over 20 years experience in mobile tech with some of the world’s leading companies. 

To sum up, we are Modoo, the wearable fetal heath monitor company. We tripled our revenue to 3.4 million dollars in 2018. And are testing subscription model with 69% weekly growth. We started in China with a 3.2 billion market and is unlocking a 28B dollars market worldwide. ",Modoo Technology,"Beijing, Beijing, China",Modoo develops safe and non-invasive tech to help mother-to-be to…,Active,health-tech,40,http://www.modoo-med.com
"François Baldassari,Christopher Coleman,Tyler Hoffman",W19,2018,"B2B,Analytics",2,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/69aff41aabfb54d70629bb4411a828953bd10011.png,"Memfault is the first IoT reliability platform that empowers teams to build more robust devices with software at scale. We believe that device reliability engineering will transform how developers build and operate IoT and edge devices with more productivity and more collaboration. As IoT applications continue to grow in complexity, it is more important than ever for developers to have Memfault’s performance monitoring, device debugging, and OTA update capabilities built into their fleet of devices for proactive device operations. We built Memfault to enable developers with a more scalable and sustainable process to accelerate go-to-market, de-risk product launches, cut product costs, and deliver overall superior products.",Memfault,"San Francisco, CA, USA","First IoT reliability platform for debugging, monitoring, OTA updates",Active,"developer-tools,saas,iot",80,https://memfault.com
"Jijo Sunny,Joseph Sunny,Aleesha John",W19,2018,"Consumer,Content",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/0128100e5d2ef79ef307fb5dabc8f57cdaac83ba.png,Buy Me a Coffee is a fast and beautiful way to fund your creative work. Loved by over a million creators. ☕️,Buy Me a Coffee,"San Francisco, CA, USA",Helping creators monetize,Active,"fintech,marketplace",30,https://www.buymeacoffee.com/
"Aylon Steinhart,Thomas Elliott Bowman",W19,2019,"Consumer,Food and Beverage",0,"Oakland, CA",https://bookface-images.s3.amazonaws.com/small_logos/515be9fcda4dad738d6f69b48e4df0e71ed64103.png,"Eclipse Foods is building the future of dairy using micelles (the microscopic magic of milk.) Eclipse has developed the world's first plant-based dairy platform which makes plant-based products with the taste, texture, and functionality of conventional dairy. 

We are transforming the $500B dairy industry and have raised over $60M from leading investors such as Y Combinator, the chairman of Beyond Meat, the founder of Reddit, the creator of Gmail, Forerunner Ventures, Sozo Ventures, Initialized Capital, and more. 

Our mission is to create a more sustainable, healthy, and humane food system by making plant-based foods that require no sacrifice. 
",Eclipse Foods,"Oakland, CA, USA","Eclipse Foods is building the future of dairy using micelles, the…",Active,"consumer,climate,food-tech",,http://www.eclipsefoods.com
