active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
Catherine Hrdy,W19,,"Consumer,Social",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/6c874030e9d4a007e733955f5d821cc505392b10.png,"Allo connects neighboring families to help them establish their local ""village"" for social and practical support.

At Allo, we believe children benefit from being raised in strong communities of friends, families, and neighbors. Unfortunately, it has become difficult to foster such an environment in our ever-fragmented offline lives, despite our ever-connected online networks. We're working to change that.

Allo aims to strengthen local networks of friends, families, and neighbors by giving them a better way to respond to each other’s needs. With Allo, asking for a favor is no longer awkward and connecting with the right group to find the social and practical support you need is simpler. 

By making it easier for friends, families, and neighbors to connect, communicate, and coordinate online to help each other offline, we layer in a much-needed element of real-life, real-world interaction and community - something that everyone yearns for and families actually need to get by.",Allo,"San Francisco, CA, USA",Allo is an app that helps neighboring families meet and help each…,Inactive,community,2,https://www.allocommunity.com/
Colin McDonnell,W19,2019,"Healthcare,Healthcare IT",0,"Miami, FL",https://bookface-images.s3.amazonaws.com/small_logos/a0ffdb775a9a0c50472217194ccd83ccd4d1423b.png,"We're providing the in-person medical infrastructure that bridges the gap in care quality and scope between virtual and in-person care. Diagnostics, nursing services, point-of-care testing, phlebotomy, and more — all available at transparent cash prices. Starting in Miami.",Brick Health,"Miami, FL, USA",Building infrastructure to expand scope and quality of virtual care,Inactive,consumer-health-services,1,https://brick.health
Greg Hazel,W19,,"Consumer,Home and Personal",0,,https://bookface-images.s3.amazonaws.com/small_logos/c13e2f9a8a16e0ea20dca4551bedadd375c81e62.png,,Volk Wireless,,,Inactive,,0,http://volkfi.com
Abhishek Bhargava,W19,,"Consumer,Gaming",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/b8f3781b5d7be4e775971d4afcf0a4ddc00a4bf4.png,,Vectordash,"San Francisco, CA, USA",Play high-end PC games on your laptop by streaming them.,Inactive,gaming,3,https://vectordash.com
Will Huang,W19,2018,"B2B,Human Resources",0,"Santa Clara, CA",https://bookface-images.s3.amazonaws.com/small_logos/259d5536d1ff589c3486d4c6a99e668b607f17c3.png,"Pengram is an indoor navigation application to allow anyone to map a building using just a phone and set up waypoints. Anyone can navigate in the building through Pengram to established waypoints. We primarily focus on helping fire protection, HVAC, and security technicians to locate devices scattered in a building during field work.",Pengram,"Santa Clara, CA, USA",Indoor navigation through augmented reality on your phone. ,Inactive,"saas,augmented-reality,navigation",2,http://pengramar.com
patrick Woodson,W19,,"Industrials,Energy",0,"Austin, TX",https://bookface-images.s3.amazonaws.com/small_logos/253be8486b2bbfaea7a77b6072dee0232ce5445a.png,"The Green Energy Exchange delivers affordable renewable energy direct to homes and businesses.  The company offers the most affordable green energy plans in the market and is dedicated to increasing the demand for renewable energy by offering to clean energy at affordable prices.  By removing middleman and inefficiencies we can provide lower prices to consumers, higher revenues to generators and help increase the adoption of clean energy sources.  Empowering people to buy renewable energy at great prices will help move us to a cleaner and greener future.  We are a licensed retail electric provider and operate in Texas currently.  ",Green Energy Exchange,"Austin, TX, USA",We deliver affordable renewable energy direct to customers and are…,Inactive,"climate,renewable-energy",3,http://getgex.com
"Sohrab Haghighat,Saharnaz Safari",W19,2018,"Industrials,Aviation and Space",0,"Toronto, Canada",https://bookface-images.s3.amazonaws.com/small_logos/cb2c60afe00a006c41276fc69a7c49f830e81b65.png,"SpaceRyde is building the future of space cargo transportation to facilitate and encourage necessary in-space developments, innovations and economy. SpaceRyde is the only sustainable mode of space transportation. Its innovative system utilizes a stratospheric balloon to bypass the atmosphere without emissions nor depositing black particles into the ozone layer and is the world’s first and only multi-functional rocket. After completing its initial mission, the vehicle will remain powered in orbit and joins its rocket network until assigned its next in-space mission, including tasks such as; refuelling, deep space missions, space junk removal and de-orbiting. 

SpaceRyde’s story began in 2018 with husband-wife founders Saharnaz Safari and Sohrab Haghighat and the dream of eliminating the barriers to innovation in space. The company is now a rapidly growing team of over 30 employees with a 25,000-square-foot rocket factory and state-of-the-art engine groundworks facility.",SpaceRyde,"Toronto, ON, Canada",The Rocket Network: Sustainable & On-Demand Delivery Anywhere in Space,Inactive,"air-taxis,commercial-space-launch,hardware,sustainable-tourism",33,http://www.spaceryde.com
Rishab Hegde,W19,2018,"B2B,Productivity",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/e16a6e8c8af6aa1bbe5736325ab70fec7f686040.png,A customizable community platform that allows companies to easily create and foster an active and engaged community,Comradery,"San Francisco, CA, USA",White-label Bookface for companies and communities!,Inactive,"saas,b2b,community",1,https://comradery.com
"Albert Ho,Tongbo Huang",W19,2018,B2B,0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/058be588e50ccbc76306e259b78f8bfbfd54fb4d.png,"Our users use our tool to build Zendesk, Salesforce, and Slack apps without an engineering background.",Chaser,"San Francisco, CA, USA",No code app builder. ,Inactive,"saas,finance,e-commerce",2,https://
"Tony Mastrorio,Victor Bordo",W19,2018,"B2B,Engineering, Product and Design",0,"Somerville, MA",,,DevFlight,"Somerville, MA, USA",Managed equipment data pipelines for manufacturers,Inactive,,2,https://devflight.com
"Nilkanth Patel,Jay Patel",W19,2019,"B2B,Office Management",0,"Dublin, CA",https://bookface-images.s3.amazonaws.com/small_logos/40e0f584df796478b48967b6827240572c5c8a6d.png,"Herald helps product and customer teams work together to grow  revenue by painting a full picture of user problems.

We start by providing the best experience for capturing customer feedback from the most relevant apps: Intercom, Front, Email, Slack, and more. Then, Herald's robust analytical engine helps you rigorously qualify and quantify customer feedback according to your business goals.

Herald molds to the way your team works: it can be used exclusively as an internal tool, in semi-private mode to share a history of their feedback with specific customers, or publicly by publishing a  product roadmap and changelog.",Herald,"Dublin, CA, USA",A collaborative repository for user feedback.,Inactive,customer-success,2,https://www.heraldhq.com
"Josh Horne,Sam Lew",W19,2018,"B2B,Office Management",0,"Provo, UT",https://bookface-images.s3.amazonaws.com/small_logos/c735eed246c242c9fbfe29b77a02d9d80c1db30d.png,,Portal Entryways,"Provo, UT, USA",Portal Entryways upgrades disabled-accessible doors so they can be…,Inactive,batteryless-iot-sensors,4,https://www.portalentryways.com/
"Jeany Ngo,Brian Schulman",W19,,"Consumer,Virtual and Augmented Reality",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/58387b7525df03b1187952bbf848e595521f3815.png,,Adventurous Co,"San Francisco, CA, USA",Disney meets Airbnb Experiences,Inactive,travel,2,http://adventurous.co
"Richard Wu,Vaibhav Verma",W19,,"Consumer,Travel, Leisure and Tourism",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/4be0985a92bf18bd1d92588d83a79cf064fac2cd.png,"Today’s delivery apps are bad experiences. First, you have to choose a delivery platform. Then, you scroll through dozens of restaurant and finally, you decide between hundreds of dishes. And even if you choose the right restaurant, you might get the wrong dishes.

On Simmer, we tell you the best reviewed dishes across all delivery apps. You first choose your dish on Simmer, and the delivery companies just take care of logistics. Through this, we are able to charge affiliate revenue for every order.

No one has done this before because determining a city’s best dishes requires millions of users to leave dish reviews.

Our unique insight is that all the data required already exists online, in blog posts, social media, newspapers. It just needs to be aggregated, analyzed, and indexed. We have built a custom sentiment analyzer to do just that.

Our vision is to be the first place people go when ordering delivery. 

The founders have backgrounds in engineering and data science from UChicago (their alma mater) and they have both worked at food tech companies like Lolli and Pops and Blue Apron.",Simmer,"San Francisco, CA, USA",We do reviews for dishes. Our app helps users find the very best…,Inactive,"delivery,food,reviews",2,https://www.usesimmer.com
"Christopher Bulow,Nicholas Goldner",W19,2016,"Healthcare,Therapeutics",0,"Menlo Park, CA",https://bookface-images.s3.amazonaws.com/small_logos/85eb1576c695e918b9450d568294b56f42f0f7e0.png,,ResistanceBio,"Menlo Park, CA, USA",We solve drug resistance for cancer,Inactive,ai-powered-drug-discovery,15,http://www.resistance.bio
"Michael Shalyt,Nataly Bendersky Shalem",W19,,"B2B,Engineering, Product and Design",0,"Tel Aviv-Yafo, Israel",,,Evo.Do,"Tel Aviv-Yafo, Tel Aviv District, Israel",QA Bots for Games,Inactive,artificial-intelligence,2,http://www.evo.do/
"Amol Jain,Tony Dong",W19,,"Consumer,Apparel and Cosmetics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/f97990c4465f100fb77f9aad50e480fa3241d8cc.png,,PerShop,"San Francisco, CA, USA",Your personal clothing store!,Inactive,"e-commerce,fashion",2,https://www.pershop.app
Justin Duan,W19,,"B2B,Sales",0,,,,BlitzIQ,,Note taking workspace for B2B sales teams,Inactive,"productivity,collaboration",0,http://www.blitziq.com
"Sachith Gullapalli,Minh Pham",W19,,"B2B,Operations",0,Mountain View,https://bookface-images.s3.amazonaws.com/small_logos/ce8670ad965548754c2d980ab31a114335244c8a.png,,Docucharm,"Mountain View, CA, USA",Automate paperwork by turning documents into structured data.,Inactive,"artificial-intelligence,nlp",2,http://www.docucharm.com
"Wenfeng Xia,Ye Xia",W19,,"B2B,Retail",0,"Singapore, Singapore",https://bookface-images.s3.amazonaws.com/small_logos/cb5be1c92ec05006ff45634b3add27f2e9ab7e77.png,"Open, grab-n-go marketplace powered by computer vision. We invite partners like chained restaurants to run most of the logistics. By giving them more customers, we get a cut of each sale ;)",Maitian.ai,"Singapore, Singapore","We make $1,000 Amazon Go stores.",Inactive,,5,https://maitian.ai
"Raina Olsen,Mohammadreza Rezaee",W19,,"Industrials,Manufacturing and Robotics",0,"Waterloo, Canada",https://bookface-images.s3.amazonaws.com/small_logos/c0f914f812e0962dabcc71833c4702b43c190e31.png,"At AuroraQ, we are building the world’s first truly practical quantum computing system.  This system integrates together different quantum components, each performing different functions with the data, including processing, communication, and memory.  Integration of different specialized components that efficiently work together to complete the calculation is precisely how classical computers work.  No other quantum hardware company has yet tackled the integration challenge.  AuroraQ will be the Dell of quantum computing, sourcing components from our partners to build a better quantum computer.  ",AuroraQ,"Waterloo, ON, Canada","Building the first practical, integrated quantum computer.",Inactive,,1,http://auroraq.com
"Gillian OBrien,Emily OBrien",W19,2018,"B2B,Human Resources",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/be89bfd17dcf97c17f139c86d442a6e6d8a4f25d.png,"Cherry lets employees choose their own workplace perks. With Cherry, employers cover their employees' favorite consumer services (ex: Netflix, Spotify, ClassPass, Lyft), instead of wasting money on perks that no one uses like in-office yoga and ping pong tables. ",Cherry,"San Francisco, CA, USA",Cherry lets employees choose their own workplace perks.,Inactive,"fintech,marketplace,saas",2,http://www.startcherry.com
"Marlon Castillo,Vijay Rajasekhar",W19,2018,Healthcare,0,"San Jose, CA",https://bookface-images.s3.amazonaws.com/small_logos/688f769621b6b3be040af3059f4307fd6262de65.png,Telehealth clinic that monitors patients with chronic conditions and prevents their hospitalization. ,DailyDoctor,"San Jose, CA, USA","Daily telehealth care for people with COPD, CHF, hypertension, and…",Inactive,"digital-health,healthcare,telemedicine",,https://www.mydailydoctor.com
"Qian Qiao,Yvonne Tian,Ruiwan Xu",W19,2018,Education,0,New York,https://bookface-images.s3.amazonaws.com/small_logos/4253a70d7c0fe82758e7435bcfbf24852b902a4b.png,"CareerTu is an online school for today’s most in-demand digital skills, starting with digital marketing, data analytics, and product design. We teach our students real-world business problems via capstone projects to make sure they are equipped with the must-have technical skills.

250+ top companies hired CareerTu students in 14 countries - including Google,  Facebook, Microsoft, Amazon, Spotify,  Pinterest, LVMH, TikTok, Expedia, Alibaba, Tencent, Meituan etc. 

CareerTu's mission is to teach students the industry’s most relevant and in-demand skills, making them the ideal hire at their dream companies, in return providing businesses with experienced and reliable talents to increase their efficiency.

华语数字化技能学习平台。通过系统学习高薪数字化技能, 迅速培养新兴行业紧缺的人，为全球14个国家的科技和新零售企业, 不断输送优秀人才。

",CareerTu,"New York, NY, USA",Online school for Chinese to learn in-demand digital skills ,Inactive,"education,careers",15,https://careertu.com/
"Boateng Opoku-Yeboah,Landon Vago-Hughes,Tunde Alao",W19,,Fintech,0,New York,https://bookface-images.s3.amazonaws.com/small_logos/c50b6b3d32852a4b7f08b0e113b65fd5a0c29dcf.png,"Fuse provides single API that integrates with multiple bank connection vendors, such as Plaid, MX, Teller, Finicity and Yodlee. Users can easily search for and select their bank via a drop-in component in your app, and then the most reliable bank connection vendor for that bank will be displayed. Fuse also provides a consistent data model for all bank integrations and handles the necessary data transformations and API quirks for you.

By using Fuse, companies can improve the reliability of bank connections, reduce disconnections, and support more banks. ",Fuse,"New York, NY, USA",Unified API for financial data aggregators.,Inactive,"fintech,saas,b2b",7,https://www.letsfuse.com/
"Andrew Fleischer,James Sinka",W19,2018,"Consumer,Food and Beverage",0,"Dallas, TX",https://bookface-images.s3.amazonaws.com/small_logos/172c7c20a5a1a0c8a7a52184606d3db47df2fa90.png,"Hypnos is a digital sleep journal that helps you discover how your habits impact your sleep. It does this by taking in your mood, daily activities, and pairing them with data from your sleep tracker. Delivering insights on how to improve your sleep and habits.",Hypnos,"Dallas, TX, USA",A digital sleep journal that helps you get better sleep.,Inactive,,3,http://hypnos.ai
"Gatumi Aliyu,Abasi Ene-Obong,Ogochukwu Francis Osifo",W19,,"Healthcare,Consumer Health and Wellness",0,"Lagos, Nigeria",https://bookface-images.s3.amazonaws.com/small_logos/f0d268f1433885c466eead20338651157ba4886f.png,"We are an African genomics research, services and development company addressing the need to include under-represented African genomic data in research which could lead to medical breakthroughs and new healthcare solutions worldwide.",54Gene,"Lagos, LA, Nigeria",Precision medicine for Africans and the global population,Inactive,,47,http://www.54gene.com
"Yael Cohen Haramaty,Maayan Yavne",W19,2018,Education,0,"Tel Aviv-Yafo, Israel",https://bookface-images.s3.amazonaws.com/small_logos/5ab9744c36435e029ec728b6ba7c10d295082ecb.png,"Tailor-ED is a cutting edge AI-based learning bot calibrated to provide personalized learning experiences and recommend the best resources for learners. We are reshaping workplace training to meet the demands of a world where technology shifts rapidly and the race for new skills never ends. We help companies deliver workforce training faster, better and cheaper. We achieve this by identifying knowledge gaps and offering a learning assistant with personalized training paths, integrating smoothly into the daily workflow via tools like Slack and Teams. ",Tailor-ED,"Tel Aviv-Yafo, Tel Aviv District, Israel",AI-powered corporate learning for accelerated employee growth & skill…,Inactive,"ai-enhanced-learning,artificial-intelligence,education",10,https://www.tailor-ed.com/
"Kembey Gbarayor,Charles Whitby, CISSP, PCIP, CRISC, CISM",W19,,"B2B,Security",0,,https://bookface-images.s3.amazonaws.com/small_logos/a864736635415469c6ff1a5b71a52b880d8e38c1.png,,Sublime Black,,Automating Cyber Security Incident Response Through Artificial…,Inactive,"artificial-intelligence,cybersecurity",0,http://sublimeblack.com
"Vaughn Koch,Andrew Kim",W19,,"B2B,Engineering, Product and Design",0,"Seattle, WA",https://bookface-images.s3.amazonaws.com/small_logos/028000b4921cd21235c9b7b837cd86a36f92a101.png,We're building a tool to help data engineers diagnose problems in their data pipelines.  Datamode integrates with the technologies you use to provide a single place to start investigating problems and reduce the mean time to diagnosis.  This means higher data quality and improved reliability for the business.,Datamode,"Seattle, WA, USA",Datamode (datamode.com) is a tool for engineers to instantly diagnose…,Inactive,"analytics,data-engineering",1,http://www.datamode.com
"Jeremy Berman,Fernando Rojo",W19,,"Consumer,Social",0,New York,https://bookface-images.s3.amazonaws.com/small_logos/3ba0659edc5dcc3c0851e4f1c7484d51acac5dc2.png,,Basement,"New York, NY, USA",The social network for your close friends.,Inactive,"social,social-network",2,http://basement.social
"Yihsuan Chen,Chengyun Quan,Jialin he",W19,,"Real Estate and Construction,Housing and Real Estate",0,"Los Angeles, CA",https://bookface-images.s3.amazonaws.com/small_logos/f9389bc50a4706a8c87cf75bec0ae29216316994.png,,Union Apartment,"Los Angeles, CA, USA","Furnished Co-living Apartments for International Students, here in…",Inactive,real-estate,12,http://www.unionapt.live
Adina Mangubat,W19,2009,"Healthcare,Healthcare Services",0,"Seattle, WA",https://bookface-images.s3.amazonaws.com/small_logos/822d8282aa459c05cf652eefd3f059118ec38f90.png,"Spiral Genetics (YC W19) makes genomic data mining software to compare large populations of whole human genomes. Our customers are genetics testing companies, governments of countries, and pharma companies. We train our machine learning algorithms to enable large scale comparison of genomes to power novel discoveries, enabling new diagnostics and drugable targets.  ",Spiral Genetics,"Seattle, WA, USA",Large Scale Genomic Data Mining Software,Inactive,"machine-learning,genomics",7,http://www.spiralgenetics.com
"Peer Richelsen,Malte Delfs",W19,2019,"Consumer,Travel, Leisure and Tourism",0,"Kiel, Germany",https://bookface-images.s3.amazonaws.com/small_logos/69ce9585088fd72230e8b041f40ed1346c87013a.png,"Mage Market is a real-time 'bid/ask' marketplace. When a bid and ask meet, the transaction happens automagically. No counterfeits or fakes – We are the active middlemen and our experts verify every card before it's being sent to you.",Mage,"Kiel, SH, Germany",The safest way to buy and sell collectibles ,Inactive,,3,https://magemarket.com
"Sabera Hussain,Everest Munro-Zeisberger,Andrei Serban",W19,,"B2B,Infrastructure",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/8e18fbf6ea3daeba8a461bb43e6d3c1a33db734b.png,,Fuzzbuzz,"San Francisco, CA, USA",Fuzzing as a Service,Acquired,"security,cybersecurity",,https://
"Collin Wallace,Ashutosh Joshi",W19,2019,"B2B,Operations",0,"San Mateo, CA",https://bookface-images.s3.amazonaws.com/small_logos/4357f0a162df6ba4c80277c8b4d44fd48049a52c.png,"We connect applications to drive more orders and better customer experiences for restaurants. The typical restaurant now uses more than two dozen different applications to run their business. Specifically, we connect, warehouse and route the data to improve analytics, marketing, operations and finance.  Our customers include brands like Frank Pepe’s, Halal Guys, Wings Over and more.",ZeroStorefront,"San Mateo, CA, USA",#1 Data platform for restaurants. Acquired by Thanx,Acquired,"restaurant-tech,crm",7,http://www.zerostorefront.com
Abhinav Sharma,W19,2019,Consumer,0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/132ea338ea9bd6d3a9d47eb6a3cddf9613fbff62.png,,Insight,"San Francisco, CA, USA",,Acquired,,3,https://www.insightbrowser.com
Kanishka Maheshwari,W19,2018,"B2B,Finance and Accounting",0,"Menlo Park, CA",https://bookface-images.s3.amazonaws.com/small_logos/8f26cd9314ac54a2757ed980518b072b15218b58.png,"Manage your money like a Fortune 500 company, whether you are about to IPO or still working in a garage. Dealing with financial institutions is painful. Yet it’s critical to keep your corporate cash safe & earning a reasonable rate of return. InterPrime helps you do that.

InterPrime helps you
1. Keep your cash safe
2. Earn a reasonable rate of return on your money
3. Assure your investors that you will responsibly steward their capital

More details at www.interprime.co",InterPrime,"Menlo Park, CA, USA",Safe & Secure Cash Management for Businesses,Acquired,"fintech,investments",3,https://www.interprime.co/
Rachel Olney,W19,2019,"B2B,Operations",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/89a7b53fb2d9e4a5231c362b84c71fe445c95d99.png,"**GENERAL**
Geosite is an enterprise SaaS platform for spatial data. Through pairing a marketplace with integrated data management and collaboration tools, Geosite enables customers to leverage spatial data for more rapid and accurate planning and operations. This platform is a dual use technology for both commercial and military customers.

//

**SPACE PEOPLE**
Geosite is a cloud-based platform creating a comprehensive repository of geospatial data, such as satellite imagery, through the aggregation of public and commercially available data, providing market-wide ability to rapidly search, select, purchase, assemble, and manage data sets. This will not only create the most comprehensive and exhaustive marketplace for geospatial data and analytics, but also build the underlying data infrastructure for the geospatial industry. This marketplace, for both analytics and data, will enable customers from Oil and Gas companies to US Special Operations to access and consume data from many sources for greater operational efficiency and safety. 

//

**O&G PEOPLE**
Geosite is a data platform for Oil and Gas companies that allows customers to bring together their data for a clearer picture of the world. Over 80% of information has a spatial component to it, rarely is this being leveraged to add to the bottom line for Oil and Gas companies. With the proliferation of satellites and distributed sensors (IOT), we are at a juncture of immense opportunity for Oil and Gas exploration to reach an operational efficiency that was impossible only a few years ago. Geosite allows for cutting edge logistics planning and operational tracking to increase safety and productivity. ",Geosite,"Palo Alto, CA, USA",Geosite is an enterprise SaaS platform for spatial data.,Acquired,"saas,geographic-information-system",40,https://www.geosite.io/
