active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Sam Odio,John Devor",W09,,"Consumer,Social",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/e4dc72b9f11ce7f6ee7142b32a97c4e3e477b6ed.png,Divvyshot is a photo-sharing platform that enables users to share full resolution photos with friends.,Divvyshot,"San Francisco, CA, USA",,Acquired,,2,http://divvyshot.com
"Gabor Cselle,Einar Vollset",W09,2008,"B2B,Productivity",0,CA,https://bookface-images.s3.amazonaws.com/small_logos/001be90befc6cb6633d3b3314009fabd489e5691.png,ReMail is an email app that downloads all your email to your iPhone and offers a comprehensive email search.,reMail,"CA, USA",Email search for iPhone. Acquired by Google in Feb 2010.,Acquired,,1,http://remail.com
Logan Welliver,W09,,"B2B,Infrastructure",0,San Francisco,,"Cloudkick is system to manage cloud servers, such as the Rackspace Cloud and Amazon's EC2.  Cloudkick provides an easy to use monitoring/alerting solution to support your production infrastructure on the cloud.  Cloudkick also gives you a window into your cloud deployment by providing detailed graphs on the health of your servers, and tools to categorize and keep information about what each server is doing.  Cloudkick's mission is to make cloud servers easy to use, where ever the customer needs them.",Cloudkick,"San Francisco, CA, USA",,Acquired,,11,http://cloudkick.com
"Sam Odio,Nick Alexander",S11,,"B2B,Analytics",0,San Francisco,,Freshplum's goal is to bring the decision-making power of data science to companies who sell goods and services electronically.,Freshplum,"San Francisco, CA, USA",Analytics with action,Acquired,analytics,8,http://freshplum.com
"Jason Chen,Byron Milligan",S11,,"B2B,Productivity",0,San Francisco,,"Stypi is a San Francisco based tech company focusing on real-time collaboration. Its first product is a collaborative code editor that many companies such as Apple, Pinterest, and Palantir, have incorporated into their remote interview process.

Stypi was acquired by Salesforce.com in 2012, where the team still continues to build its real-time technology and platform.",Stypi,"San Francisco, CA, USA",Realtime collaborative coding,Acquired,collaboration,2,https://stypi.com
Eric Florenzano,S11,,"B2B,Engineering, Product and Design",0,San Francisco,,Clutch.io builds tools for mobile application developers. Clutch's line of tools helps developers overcome some common problems with mobile app development including A/B testing for mobile apps as well as a framework that enables developers to iterate much faster.,Clutch,"San Francisco, CA, USA",An easy to integrate library for native iOS applications designed to…,Acquired,developer-tools,2,http://clutch.io
"Tom Lehman,Ilan Zechory",S11,2009,"Consumer,Content",0,NY,https://bookface-images.s3.amazonaws.com/small_logos/22f70a1747582c2bb1d490082ec34e1607eca028.png,"Genius is the world's biggest encyclopedia of music. Powered by its community, in-house creative team, and the artists themselves, Genius serves music knowledge to over 100 million people each month on Genius.com and everywhere music fans connect across the internet.

Founded in 2009, Genius began as a platform for annotating rap lyrics. Over the years, it has expanded its mission to include more than hip-hop, and more than just lyrics. Every song has a story that needs to be told, and the biggest names in music—including Frank Ocean, Lorde, and Lin-Manuel Miranda—come to Genius to give the world insight into their art.",Genius,"NY, USA",Music Intelligence,Acquired,,101,https://genius.com
"Paul Zhang,John Sun,Kevin Yu",S11,,"Fintech,Consumer Finance",0,"Chicago, IL",,Automate credit counseling.,Debteye,"Chicago, IL, USA",Automate credit counseling.,Acquired,,2,http://debteye.com
"George Korsnick,Riley Scott,Christopher Steiner",S11,,"Consumer,Home and Personal",0,"Chicago, IL",,"Aisle50 came out of the summer 2011 class at Y Combinator, the Silicon Valley accelerator.  Aisle50 builds CPG and retailer campaigns aimed to get both banner and brand incremental shoppers, bigger share and valuable brand messaging to consumers.

Our product has a two-year track record of producing baskets that are 30% larger for our retailers.  We also give our retailer partners incremental trips that, in the past, they would have lost to competitors.  Aisle50 content, because much of it is in the form of offers that are paid for through Web or Mobile, compel the consumer to head to the store sooner rather than later.  

Everybody wins: We drive trips to stores, new customers to CPGs and big discounts to consumers.",Aisle50,"Chicago, IL, USA",Grocery deals.,Acquired,,11,http://aisle50.com
"Elizabeth Iorns,Dan Knox",S11,2011,"Healthcare,Healthcare Services",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/0db3228fbd884724c2ad75aeac20b60376478518.png,Science Exchange powers R&D outsourcing for the world’s top life sciences companies. Our marketplace gives scientists access to the innovation and research they need and our platform fully automates R&D outsourcing from source to pay so scientists can focus on what they love—science.,Science Exchange,"Palo Alto, CA, USA",Powering scientific outsourcing,Acquired,"saas,health-tech,biotech,enterprise",50,https://www.scienceexchange.com/
